(0.0, 0.0, 17.476761338653706)	(0.0, 0.0, -451.8070785316806)
(0.0, 0.0, 744.7689661656278)	(0.0, 0.0, -244.05878583069034)
(0.0, 0.0, 134.87855836742585)	(0.0, 0.0, 228.19806764302854)
(0.0, 0.0, -165.4237913872086)	(0.0, 0.0, 61.89538949402612)
(0.0, 0.0, -319.8520448236348)	(0.0, 0.0, 36.18963635926269)
(0.0, 0.0, 284.9517771426966)	(0.0, 0.0, -192.36532457310378)
(0.0, 0.0, 209.01697124138738)	(0.0, 0.0, -82.89662550464081)
(0.0, 0.0, 578.5786349168626)	(0.0, 0.0, -567.0239418261048)
(0.0, 0.0, 641.346039323159)	(0.0, 0.0, 74.73599981721652)
(0.0, 0.0, 364.3881719486935)	(0.0, 0.0, -301.32570969021424)
(0.0, 0.0, 28.665032822437695)	(0.0, 0.0, 305.2403805408035)
(0.0, 0.0, 686.2793002668404)	(0.0, 0.0, -317.79171186268013)
(0.0, 0.0, 91.10589758831213)	(0.0, 0.0, -312.1946864943568)
(0.0, 0.0, 230.75441671285313)	(0.0, 0.0, -66.64431941446182)
(0.0, 0.0, 208.2522437232339)	(0.0, 0.0, -473.04435646689166)
(0.0, 0.0, 913.5633277092037)	(0.0, 0.0, -254.90930945626516)
(0.0, 0.0, 314.57794371221775)	(0.0, 0.0, 187.85396504238747)
(0.0, 0.0, 422.45958375194243)	(0.0, 0.0, -968.3255403620744)
(0.0, 0.0, -222.67041179585982)	(0.0, 0.0, 552.3321956209736)
(0.0, 0.0, 491.3257374620604)	(0.0, 0.0, 378.78148105469955)
(0.0, 0.0, -12.806669947767528)	(0.0, 0.0, -270.3690137704463)
(0.0, 0.0, 1254.6350963490675)	(0.0, 0.0, -977.6622940016508)
(0.0, 0.0, -139.4132908716122)	(0.0, 0.0, -153.05211127010696)
(0.0, 0.0, 557.8802601737697)	(0.0, 0.0, -13.797094769943715)
(0.0, 0.0, 242.4121840803695)	(0.0, 0.0, -218.77618935175454)
(0.0, 0.0, 1080.3847729109123)	(0.0, 0.0, -142.31624435690827)
(0.0, 0.0, -44.75123620425155)	(0.0, 0.0, -20.20483995738144)
(0.0, 0.0, 840.7328525648614)	(0.0, 0.0, -172.26662568231202)
(0.0, 0.0, 204.32550925520272)	(0.0, 0.0, -120.55465804158273)
(0.0, 0.0, 649.041687491666)	(0.0, 0.0, 255.33662250452647)
(0.0, 0.0, -70.60709624114558)	(0.0, 0.0, 6.730611750110867)
(0.0, 0.0, -30.80690026322873)	(0.0, 0.0, 173.3345261821641)
(0.0, 0.0, 35.45820069696195)	(0.0, 0.0, -350.29288041354704)
(0.0, 0.0, 274.8531774794023)	(0.0, 0.0, 408.0063364899209)
(0.0, 0.0, 135.0077696736271)	(0.0, 0.0, -144.04161763375888)
(0.0, 0.0, 5.345275758172587)	(0.0, 0.0, -506.28055321450023)
(0.0, 0.0, -316.9098362148058)	(0.0, 0.0, -335.2718244212834)
(0.0, 0.0, 37.704848277517755)	(0.0, 0.0, -652.147473009691)
(0.0, 0.0, 336.1844090511138)	(0.0, 0.0, -181.38051063353768)
(0.0, 0.0, 134.5426767356019)	(0.0, 0.0, -625.5943021032404)
(0.0, 0.0, -112.39075084820287)	(0.0, 0.0, -1156.3991703951222)
(0.0, 0.0, 287.9343773464644)	(0.0, 0.0, -292.09307586291123)
